harga,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_tanah,luas_bangunan,carport,pasokan_listrik,kab/kota,kecamatan,keamanan,taman,jarak_rs_terdekat,jarak_sekolah_terdekat,jarak_tol_terdekat
1700000000,3.0,2.0,180.0,150,1,2200.0,Jakarta Timur,Cakung,Tidak Ada,Tidak Ada,1.1,0.3,3.1
29600000000,4.0,5.0,563.0,489,2,5500.0,Jakarta Timur,Cakung timur,Ada,Tidak Ada,1.6,1.6,3.6
4450000000,5.0,3.0,270.0,350,3,4400.0,Jakarta Timur,Duren sawit,Ada,Ada,0.6,0.17,1.7
2670000000,3.0,2.0,91.0,200,1,2200.0,Jakarta Timur,Duren sawit,Ada,Ada,0.6,0.17,1.7
2750000000,4.0,3.0,122.0,200,2,2200.0,Jakarta Timur,Duren sawit,Ada,Ada,0.6,1.5,1.8
1770000000,3.0,2.0,68.0,100,1,5500.0,Jakarta Timur,Duren sawit,Ada,Ada,0.6,1.5,1.8
2400000000,5.0,4.0,90.0,153,1,5500.0,Jakarta Timur,Cakung,Ada,Ada,0.8,2.6,5.2
2400000000,3.0,3.0,112.0,120,2,3500.0,Jakarta Timur,Cakung,Ada,Ada,0.6,0.85,2.2
2570000000,2.0,2.0,112.0,112,2,3500.0,Jakarta Timur,Cakung,Tidak Ada,Ada,1.5,0.5,3.7
4500000000,3.0,3.0,216.0,240,4,5500.0,Jakarta Timur,Pulo gadung,Tidak Ada,Tidak Ada,0.4,0.75,1.8
3700000000,4.0,4.0,180.0,150,2,2200.0,Jakarta Timur,Jatinegara,Tidak Ada,Tidak Ada,0.7,0.27,1.4
2600000000,3.0,3.0,98.0,91,2,3500.0,Jakarta Timur,Cakung,Ada,Ada,1.9,1.7,3.8
5500000000,3.0,3.0,153.0,180,2,3500.0,Jakarta Timur,Cakung,Tidak Ada,Tidak Ada,0.6,0.85,2.2
1500000000,3.0,3.0,85.0,107,1,3500.0,Jakarta Timur,Cipayung,Ada,Tidak Ada,0.75,0.45,1.9
2900000000,4.0,2.0,160.0,250,1,2200.0,Jakarta Timur,Pulo gebang,Ada,Ada,1.6,1.7,3.3
10700000000,5.0,2.0,550.0,300,2,4400.0,Jakarta Timur,Makasar,Ada,Ada,0.29,1.1,1.3
3500000000,4.0,3.0,170.0,340,1,2200.0,Jakarta Timur,Duren sawit,Ada,Ada,0.6,0.8,1.9
5500000000,4.0,4.0,180.0,350,2,5500.0,Jakarta Timur,Duren sawit,Ada,Ada,0.85,0.8,1.8
4200000000,4.0,3.0,200.0,208,2,3500.0,Jakarta Timur,Cakung,Ada,Tidak Ada,1.1,1.1,2.7
2300000000,4.0,2.0,203.0,160,2,3000.0,Jakarta Timur,Cakung,Ada,Ada,1.9,0.45,1.1
2700000000,3.0,2.0,235.0,70,1,5500.0,Jakarta Timur,Cakung,Ada,Ada,1.7,0.7,4.4
3700000000,3.0,3.0,315.0,280,2,3500.0,Jakarta Timur,Duren sawit,Tidak Ada,Ada,0.65,0.45,3.4
2550000000,3.0,3.0,112.0,140,2,3500.0,Jakarta Timur,Cakung,Ada,Ada,0.13,2.5,6.2
1750000000,3.0,2.0,150.0,70,1,2200.0,Jakarta Timur,Cakung,Ada,Ada,1.7,0.55,3.2
2000000000,3.0,2.0,135.0,225,2,5500.0,Jakarta Timur,Duren sawit,Tidak Ada,Tidak Ada,1.1,1.5,3.1
1750000000,3.0,2.0,102.0,75,2,2200.0,Jakarta Timur,Cakung,Tidak Ada,Tidak Ada,0.45,3.6,6.4
2900000000,5.0,3.0,160.0,250,2,2200.0,Jakarta Timur,Cakung,Ada,Ada,1.7,0.8,2.4
2600000000,4.0,3.0,127.0,160,3,3500.0,Jakarta Timur,Makasar,Ada,Ada,0.45,0.5,0.85
4000000000,9.0,4.0,206.0,352,2,3500.0,Jakarta Timur,Pulo gadung,Tidak Ada,Tidak Ada,1.1,0.23,3.5
7500000000,6.0,5.0,325.0,400,2,4400.0,Jakarta Timur,Pulo gadung,Tidak Ada,Ada,0.65,0.4,3.5
2250000000,4.0,4.0,120.0,125,1,2200.0,Jakarta Timur,Cakung,Tidak Ada,Tidak Ada,2.4,1.3,3.7
2650000000,4.0,3.0,207.0,375,2,3500.0,Jakarta Timur,Cakung,Ada,Ada,2.5,0.14,3.0
3750000000,4.0,3.0,303.0,168,2,3500.0,Jakarta Timur,Cakung,Tidak Ada,Tidak Ada,1.5,0.75,1.5
1250000000,2.0,1.0,90.0,90,1,3500.0,Jakarta Timur,Cakung,Ada,Ada,1.7,0.55,3.2
8500000000,6.0,5.0,399.0,335,1,3500.0,Jakarta Timur,Duren sawit,Tidak Ada,Tidak Ada,0.16,0.5,1.9
3750000000,4.0,4.0,256.0,400,3,4400.0,Jakarta Timur,Duren sawit,Ada,Ada,1.8,0.5,3.0
2600000000,3.0,2.0,102.0,122,2,4400.0,Jakarta Timur,Cakung,Ada,Ada,1.6,1.9,6.0
1900000000,5.0,2.0,96.0,160,1,2200.0,Jakarta Timur,Pondok kelapa,Ada,Tidak Ada,0.35,1.2,3.6
2000000000,4.0,3.0,90.0,75,1,2200.0,Jakarta Timur,Cakung,Ada,Tidak Ada,76.0,2.1,6.2
1950000000,3.0,3.0,120.0,150,1,2200.0,Jakarta Timur,Cakung,Ada,Ada,1.2,1.4,5.5
1450000000,3.0,1.0,150.0,100,1,2200.0,Jakarta Timur,Cakung,Tidak Ada,Tidak Ada,1.7,0.55,3.2
3000000000,4.0,3.0,250.0,180,2,4400.0,Jakarta Timur,Duren sawit,Tidak Ada,Tidak Ada,0.55,0.35,4.3
2150000000,3.0,2.0,185.0,1600,1,2200.0,Jakarta Timur,Cakung,Ada,Ada,4.0,1.0,4.5
5500000000,4.0,4.0,240.0,380,1,7700.0,Jakarta Timur,Cakung,Ada,Ada,5.5,1.6,3.2
13800000000,5.0,6.0,320.0,606,1,13300.0,Jakarta Timur,Pulo gadung,Tidak Ada,Ada,1.9,0.3,4.1
9900000000,6.0,4.0,420.0,400,2,6600.0,Jakarta Timur,Pulo gadung,Tidak Ada,Tidak Ada,2.7,0.4,0.7
5800000000,3.0,4.0,145.0,450,1,5500.0,Jakarta Timur,Pulo gadung,Tidak Ada,Tidak Ada,1.3,2.0,4.5
4500000000,4.0,4.0,126.0,146,1,5500.0,Jakarta Timur,Cakung,Ada,Tidak Ada,8.3,1.7,3.8
2670000000,4.0,4.0,204.0,360,2,4400.0,Jakarta Timur,Ciracas,Ada,Tidak Ada,5.6,1.8,3.0
5500000000,4.0,4.0,240.0,400,2,7700.0,Jakarta Timur,Cakung,Ada,Ada,1.1,3.4,2.2
7000000000,5.0,4.0,300.0,450,1,7700.0,Jakarta Timur,Duren sawit,Ada,Ada,2.3,0.5,2.0
26000000000,6.0,4.0,628.0,628,1,5500.0,Jakarta Timur,Pulo gadung,Ada,Ada,1.2,0.2,3.6
1780000000,3.0,2.0,102.0,76,2,2200.0,Jakarta Timur,Cakung,Ada,Ada,6.5,2.4,5.6
2700000000,3.0,3.0,120.0,150,2,5500.0,Jakarta Timur,Cakung,Ada,Ada,2.4,2.5,3.7
